GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US06109,06109,United States - California - Tuolumne County,Tuolumne County,54325,2700
0100000US,,United States,0500000US06111,06111,United States - California - Ventura County,Ventura County,81972,983
0100000US,,United States,0500000US06113,06113,United States - California - Yolo County,Yolo County,61621,1733
0100000US,,United States,0500000US06115,06115,United States - California - Yuba County,Yuba County,51776,2375
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,65458,317
0100000US,,United States,0500000US08001,08001,United States - Colorado - Adams County,Adams County,64087,991
0100000US,,United States,0500000US08003,08003,United States - Colorado - Alamosa County,Alamosa County,36315,4688
0100000US,,United States,0500000US08005,08005,United States - Colorado - Arapahoe County,Arapahoe County,69553,846
0100000US,,United States,0500000US08007,08007,United States - Colorado - Archuleta County,Archuleta County,48016,5197
0100000US,,United States,0500000US08009,08009,United States - Colorado - Baca County,Baca County,35898,2615
0100000US,,United States,0500000US08011,08011,United States - Colorado - Bent County,Bent County,32500,3442
0100000US,,United States,0500000US08013,08013,United States - Colorado - Boulder County,Boulder County,75669,1234
0100000US,,United States,0500000US08014,08014,United States - Colorado - Broomfield County,Broomfield County,85639,2394
0100000US,,United States,0500000US08015,08015,United States - Colorado - Chaffee County,Chaffee County,53762,2655
0100000US,,United States,0500000US08017,08017,United States - Colorado - Cheyenne County,Cheyenne County,54907,5772
0100000US,,United States,0500000US08019,08019,United States - Colorado - Clear Creek County,Clear Creek County,68534,4776
0100000US,,United States,0500000US08021,08021,United States - Colorado - Conejos County,Conejos County,35657,3150
0100000US,,United States,0500000US08023,08023,United States - Colorado - Costilla County,Costilla County,29000,4573
0100000US,,United States,0500000US08025,08025,United States - Colorado - Crowley County,Crowley County,35292,6589
0100000US,,United States,0500000US08027,08027,United States - Colorado - Custer County,Custer County,41330,3601
0100000US,,United States,0500000US08029,08029,United States - Colorado - Delta County,Delta County,42487,4104
0100000US,,United States,0500000US08031,08031,United States - Colorado - Denver County,Denver County,60098,950
0100000US,,United States,0500000US08033,08033,United States - Colorado - Dolores County,Dolores County,40352,7713
0100000US,,United States,0500000US08035,08035,United States - Colorado - Douglas County,Douglas County,111154,1484
0100000US,,United States,0500000US08037,08037,United States - Colorado - Eagle County,Eagle County,83803,4624
0100000US,,United States,0500000US08039,08039,United States - Colorado - Elbert County,Elbert County,92849,4456
0100000US,,United States,0500000US08041,08041,United States - Colorado - El Paso County,El Paso County,62535,844
0100000US,,United States,0500000US08043,08043,United States - Colorado - Fremont County,Fremont County,44712,1951
0100000US,,United States,0500000US08045,08045,United States - Colorado - Garfield County,Garfield County,66503,2244
0100000US,,United States,0500000US08047,08047,United States - Colorado - Gilpin County,Gilpin County,72544,5648
0100000US,,United States,0500000US08049,08049,United States - Colorado - Grand County,Grand County,66489,6712
0100000US,,United States,0500000US08051,08051,United States - Colorado - Gunnison County,Gunnison County,52651,4811
0100000US,,United States,0500000US08053,08053,United States - Colorado - Hinsdale County,Hinsdale County,53056,13171
0100000US,,United States,0500000US08055,08055,United States - Colorado - Huerfano County,Huerfano County,35801,2554
0100000US,,United States,0500000US08057,08057,United States - Colorado - Jackson County,Jackson County,45994,4071
0100000US,,United States,0500000US08059,08059,United States - Colorado - Jefferson County,Jefferson County,75170,854
0100000US,,United States,0500000US08061,08061,United States - Colorado - Kiowa County,Kiowa County,39250,3911
0100000US,,United States,0500000US08063,08063,United States - Colorado - Kit Carson County,Kit Carson County,45881,4121
0100000US,,United States,0500000US08065,08065,United States - Colorado - Lake County,Lake County,46176,6432
0100000US,,United States,0500000US08067,08067,United States - Colorado - La Plata County,La Plata County,62533,2438
0100000US,,United States,0500000US08069,08069,United States - Colorado - Larimer County,Larimer County,64980,1414
0100000US,,United States,0500000US08071,08071,United States - Colorado - Las Animas County,Las Animas County,40586,4510
0100000US,,United States,0500000US08073,08073,United States - Colorado - Lincoln County,Lincoln County,44725,3719
